Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
48PF17X7P2M0;48PF17X7P2M0CX ;PERFIL LED 17X7MM NA COR PRETA BARRA 2M ;100;PC;LAMPADA;1,8;18,5;0,14;0,2;2,2;0,0616;5;3;;;MASTER
48PF24X14B2M;48PF24X14B2M;PERFIL LED 24X14MM NA COR BRANCA BARRA 2;1;PC;LAMPADA;1,98;0,198;0,02;0,025;2,01;0,001005;25;80;;;UNIDADE
48PF24X14B2M;48PF24X14B2M-10 UN       ;PERFIL LED 24X14MM NA COR BRANCA BARRA 2;10;PC;LAMPADA;1,98;1,98;0,06;0,11;2,07;0,013662;25;10;;;MASTER
48PF24X14B2M;48PF24X14B2MCX100        ;PERFIL LED 24X14MM NA COR BRANCA BARRA 2;100;PC;LAMPADA;1,98;21,5;0,2;0,21;2,17;0,09114;5;4;;;MASTER
48PF24X14B3M;48PF24X14B3M;PERFIL LED 24X14MM NA COR PRETA BARRA 3 ;1;PC;LAMPADA;2,88;0,288;0,02;0,025;3;0,0015;25;80;;;UNIDADE
48PF24X14B3M;48PF24X14B3M-10 UN       ;PERFIL LED 24X14MM NA COR BRANCA BARRA 3;10;PC;LAMPADA;2,88;2,8;0,06;0,11;3,07;0,020262;25;10;;;MASTER
48PF24X14B3M;48PF24X14B3MCX ;PERFIL LED 24X14MM NA COR PRETA BARRA 3 ;100;PC;LAMPADA;2,88;29,8;0,21;0,22;3,2;0,14784;10;5;;;MASTER
48PF24X14P2M;48PF24X14P2M-10 UN       ;PERFIL LED 24X14MM COR PRETA BARRA2   ;10;PC;LAMPADA;1,98;1,98;0,06;0,11;2,07;0,013662;25;10;;;MASTER
48PF24X14P2M;48PF24X14P2MCX100        ;PERFIL LED 24X14MM NA COR PRETA BARRA 2 ;100;PC;LAMPADA;1,98;21,5;0,2;0,21;2,18;0,09156;5;4;;;MASTER
48PF24X14P2M;48PF24X14P2M;PERFIL LED 24X14MM NA COR PRETA BARRA 2 ;1;PC;LAMPADA;1,98;0,198;0,02;0,03;2;0,0012;2;8;;;UNIDADE
48PF24X14P3M;48PF24X14P3M;PERFIL LED 24X14MM NA COR PRETA BARRA 3 ;1;PC;LAMPADA;0,001;0,288;0,015;0,025;3;0,001125;25;80;;;UNIDADE
48PF24X14P3M;48PF24X14P3M-10 UN       ;PERFIL LED 24X14MM NA COR PRETA BARRA 3 ;10;PC;LAMPADA;0,001;2,88;0,06;0,11;3,07;0,020262;25;10;;;MASTER
48PF24X14P3M;48PF24X14P3MCX ;PERFIL LED 24X14MM NA COR PRETA BARRA 3 ;100;PC;LAMPADA;0,001;29,8;0,21;0,22;3,18;0,146916;5;4;;;MASTER
48PF24X7B2M0;48PF24X7B2M0;PERFIL LED 24X7MM NA COR BRANCA BARRA 2 ;1;PC;LAMPADA;1,9;0,19;0,01;0,024;2;0,00048;50;30;;;UNIDADE
