Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42AFG4002000;42AFG4002000;AFG40 FRITADEIRA CUBE FRY 4L 220V;1;PC;AIR FRYER;0,1;3,08;0,326;0,315;0,315;0,032347;4;12;7908412504495;A;UNIDADE
42AFG4002000;42AFG4002000;AFG40 FRITADEIRA CUBE FRY 4L 220V;1;PC;AIR FRYER;0,1;3,08;0,326;0,315;0,315;0,032347;4;12;42AFG4002000;A;UNIDADE
42AFG4002000;42AFG4002000CX;AFG40 FRITADEIRA CUBE FRY 4L 220V;2;PC;AIR FRYER;0,1;8,04;0,335;0,325;0,645;0,070224;4;6;42AFG4002000CX;A;MASTER
42AFG4002000;42AFG4002000CX;AFG40 FRITADEIRA CUBE FRY 4L 220V;2;PC;AIR FRYER;0,1;8,04;0,335;0,325;0,645;0,070224;4;6;17908412504492;A;MASTER
42AFC5001000;42AFC5001000;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 127V;1;PC;AIR FRYER;0,1;4,77;0,348;0,335;0,335;0,039054;4;8;7908412504525;A;UNIDADE
42AFC5001000;42AFC5001000;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 127V;1;PC;AIR FRYER;0,1;4,77;0,348;0,335;0,335;0,039054;4;8;42AFC5001000;A;UNIDADE
42AFC5001000;42AFC5001000CX;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 127V;2;PC;AIR FRYER;0,1;10;0,36;0,345;0,685;0,085077;4;4;42AFC5001000CX;A;MASTER
42AFC5001000;42AFC5001000CX;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 127V;2;PC;AIR FRYER;0,1;10;0,36;0,345;0,685;0,085077;4;4;17908412504522;A;MASTER
42AFC5002000;42AFC5002000;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 220V;1;PC;AIR FRYER;0,1;4,77;0,348;0,335;0,335;0,039054;4;8;7908412504532;A;UNIDADE
42AFC5002000;42AFC5002000;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 220V;1;PC;AIR FRYER;0,1;4,77;0,348;0,335;0,335;0,039054;4;8;42AFC5002000;A;UNIDADE
